Date,Hour,Solar,Wind,Solar,Wind,Cloud
1/4/2019,0,0,644.5016141,0,0,1
1/4/2019,1,0,828.2186758,0,0,1
1/4/2019,2,0,877.5860248,0,1,1
1/4/2019,3,0,941.1716519,0,1,1
1/4/2019,4,0,889.1640367,0,1,1
1/4/2019,5,0,789.3050505,0,1,0
1/4/2019,6,0,786.555581,0,1,0
1/4/2019,7,0,791.9742898,0,1,0
1/4/2019,8,0,871.7233814,0,1,0
1/4/2019,9,0,870.2591263,0,1,0
1/4/2019,10,0,860.3180949,0,1,0
1/4/2019,11,0,829.9789448,0,1,0
1/4/2019,12,0,843.2119563,0,1,0
1/4/2019,13,26.87401265,885.9001323,0,1,0
1/4/2019,14,82.60183185,847.2548795,0,1,0
1/4/2019,15,36.7578245,751.520495,0,1,0
1/4/2019,16,56.840222,723.1820539,0,0,0
1/4/2019,17,61.9362065,742.5698483,1,0,0
1/4/2019,18,50.63777291,752.6204291,1,0,0
1/4/2019,19,34.16829741,767.5235595,1,1,0
1/4/2019,20,15.73466033,735.1115273,0,1,0
1/4/2019,21,0.161043304,692.6118412,0,0,0
1/4/2019,22,0,669.5563708,0,0,0
1/4/2019,23,0,709.0371598,0,0,0
